YYYYMMDD	TG	UG
01/01/2019 00:00	-2.1	94.7
01/01/2019 01:00	-2.5	96.5
01/01/2019 02:00	-2.8	97
01/01/2019 03:00	-3.2	98.3
01/01/2019 04:00	-3.3	98.2
01/01/2019 05:00	-3.9	99
01/01/2019 06:00	-4	99.2
01/01/2019 07:00	-4.1	99.5
01/01/2019 08:00	-3.4	100
01/01/2019 09:00	-2	100
01/01/2019 10:00	-0.7	100
01/01/2019 11:00	2	97
01/01/2019 12:00	7.3	69.3
01/01/2019 13:00	10	55.2
01/01/2019 14:00	10.3	53.3
01/01/2019 15:00	10.2	53.8
01/01/2019 16:00	8.7	63.8
01/01/2019 17:00	6	76.2
01/01/2019 18:00	3.6	90.2
01/01/2019 19:00	1.7	95.2
01/01/2019 20:00	0.1	98.3
01/01/2019 21:00	-1.4	99.8
01/01/2019 22:00	-1.9	100
01/01/2019 23:00	-2.1	100
