Id Sensore,Data-Ora,value
8124,01/01/2014 00:00,2.63
8124,01/01/2014 01:00,2.60
8124,01/01/2014 02:00,2.65
8124,01/01/2014 03:00,2.63
8124,01/01/2014 04:00,2.60
8124,01/01/2014 05:00,2.52
8124,01/01/2014 06:00,2.40
8124,01/01/2014 07:00,2.43
8124,01/01/2014 08:00,2.34
8124,01/01/2014 09:00,2.44
8124,01/01/2014 10:00,2.41
8124,01/01/2014 11:00,2.44
8124,01/01/2014 12:00,2.48
8124,01/01/2014 13:00,2.40
8124,01/01/2014 14:00,2.34
8124,01/01/2014 15:00,2.27
8124,01/01/2014 16:00,2.19
8124,01/01/2014 17:00,2.22
8124,01/01/2014 18:00,2.19
8124,01/01/2014 19:00,2.19
8124,01/01/2014 20:00,2.19
8124,01/01/2014 21:00,2.15
8124,01/01/2014 22:00,2.12
8124,01/01/2014 23:00,2.12
8124,02/01/2014 00:00,2.15
8124,02/01/2014 01:00,2.08
8124,02/01/2014 02:00,2.08
8124,02/01/2014 03:00,2.05
8124,02/01/2014 04:00,2.08
8124,02/01/2014 05:00,2.03
8124,02/01/2014 06:00,2.03
8124,02/01/2014 07:00,1.98
8124,02/01/2014 08:00,1.94
8124,02/01/2014 09:00,2.08
8124,02/01/2014 10:00,2.08
8124,02/01/2014 11:00,2.05
8124,02/01/2014 12:00,2.08
8124,02/01/2014 13:00,2.05
8124,02/01/2014 14:00,2.01
8124,02/01/2014 15:00,2.03
8124,02/01/2014 16:00,2.11
8124,02/01/2014 17:00,1.91
8124,02/01/2014 18:00,1.91
8124,02/01/2014 19:00,2.01
8124,02/01/2014 20:00,1.84
8124,02/01/2014 21:00,1.87
8124,02/01/2014 22:00,1.96
8124,02/01/2014 23:00,1.84
8124,03/01/2014 00:00,1.91
8124,03/01/2014 01:00,1.84
8124,03/01/2014 02:00,1.84
8124,03/01/2014 03:00,1.83
8124,03/01/2014 04:00,1.84
8124,03/01/2014 05:00,1.84
8124,03/01/2014 06:00,1.77
8124,03/01/2014 07:00,1.71
8124,03/01/2014 08:00,1.83
8124,03/01/2014 09:00,1.69
8124,03/01/2014 10:00,1.80
8124,03/01/2014 11:00,1.80
8124,03/01/2014 12:00,1.73
8124,03/01/2014 13:00,1.80
8124,03/01/2014 14:00,1.77
8124,03/01/2014 15:00,1.83
8124,03/01/2014 16:00,1.76
8124,03/01/2014 17:00,1.71
8124,03/01/2014 18:00,1.76
8124,03/01/2014 19:00,1.76
8124,03/01/2014 20:00,1.71
8124,03/01/2014 21:00,1.69
8124,03/01/2014 22:00,1.67
8124,03/01/2014 23:00,1.73
8124,04/01/2014 00:00,1.69
8124,04/01/2014 01:00,1.71
8124,04/01/2014 02:00,1.64
8124,04/01/2014 03:00,1.69
8124,04/01/2014 04:00,1.71
8124,04/01/2014 05:00,1.69
8124,04/01/2014 06:00,1.67
8124,04/01/2014 07:00,1.69
8124,04/01/2014 08:00,1.71
8124,04/01/2014 09:00,1.77
8124,04/01/2014 10:00,1.84
8124,04/01/2014 11:00,2.11
8124,04/01/2014 12:00,2.19
8124,04/01/2014 13:00,2.25
8124,04/01/2014 14:00,2.32
8124,04/01/2014 15:00,2.63
8124,04/01/2014 16:00,2.76
8124,04/01/2014 17:00,3.03
8124,04/01/2014 18:00,3.65
8124,04/01/2014 19:00,4.76
8124,04/01/2014 20:00,5.48
8124,04/01/2014 21:00,6.25
8124,04/01/2014 22:00,6.68
8124,04/01/2014 23:00,6.70
8124,05/01/2014 00:00,6.70
8124,05/01/2014 01:00,6.97
8124,05/01/2014 02:00,6.74
8124,05/01/2014 03:00,6.47
8124,05/01/2014 04:00,6.59
8124,05/01/2014 05:00,6.93
8124,05/01/2014 06:00,7.20
