Id Sensore,Data-Ora,value
9084,01/01/2014 00:00,1.25
9084,01/01/2014 01:00,1.22
9084,01/01/2014 02:00,1.21
9084,01/01/2014 03:00,1.21
9084,01/01/2014 04:00,1.19
9084,01/01/2014 05:00,1.19
9084,01/01/2014 06:00,1.19
9084,01/01/2014 07:00,1.17
9084,01/01/2014 08:00,1.17
9084,01/01/2014 09:00,1.17
9084,01/01/2014 10:00,1.18
9084,01/01/2014 11:00,1.18
9084,01/01/2014 12:00,1.15
9084,01/01/2014 13:00,1.11
9084,01/01/2014 14:00,1.08
9084,01/01/2014 15:00,1.07
9084,01/01/2014 16:00,1.06
9084,01/01/2014 17:00,1.00
9084,01/01/2014 18:00,1.07
9084,01/01/2014 19:00,1.08
9084,01/01/2014 20:00,1.08
9084,01/01/2014 21:00,1.08
9084,01/01/2014 22:00,1.08
9084,01/01/2014 23:00,1.08
9084,02/01/2014 00:00,1.07
9084,02/01/2014 01:00,1.05
9084,02/01/2014 02:00,1.05
9084,02/01/2014 03:00,1.05
9084,02/01/2014 04:00,1.01
9084,02/01/2014 05:00,1.03
9084,02/01/2014 06:00,1.03
9084,02/01/2014 07:00,1.02
9084,02/01/2014 08:00,1.05
9084,02/01/2014 09:00,1.13
9084,02/01/2014 10:00,1.26
9084,02/01/2014 11:00,1.37
9084,02/01/2014 12:00,1.39
9084,02/01/2014 13:00,1.46
9084,02/01/2014 14:00,1.46
9084,02/01/2014 15:00,1.46
9084,02/01/2014 16:00,1.46
9084,02/01/2014 17:00,1.44
9084,02/01/2014 18:00,1.41
9084,02/01/2014 19:00,1.37
9084,02/01/2014 20:00,1.29
9084,02/01/2014 21:00,1.27
9084,02/01/2014 22:00,1.26
9084,02/01/2014 23:00,1.20
9084,03/01/2014 00:00,1.19
9084,03/01/2014 01:00,1.18
9084,03/01/2014 02:00,1.13
9084,03/01/2014 03:00,1.14
9084,03/01/2014 04:00,1.12
9084,03/01/2014 05:00,1.12
9084,03/01/2014 06:00,1.10
9084,03/01/2014 07:00,1.09
9084,03/01/2014 08:00,1.09
9084,03/01/2014 09:00,1.09
9084,03/01/2014 10:00,1.09
9084,03/01/2014 11:00,1.09
9084,03/01/2014 12:00,1.09
9084,03/01/2014 13:00,1.09
9084,03/01/2014 14:00,1.09
9084,03/01/2014 15:00,1.08
9084,03/01/2014 16:00,1.09
9084,03/01/2014 17:00,1.07
9084,03/01/2014 18:00,1.05
9084,03/01/2014 19:00,1.05
9084,03/01/2014 20:00,1.05
9084,03/01/2014 21:00,1.05
9084,03/01/2014 22:00,1.05
9084,03/01/2014 23:00,1.02
9084,04/01/2014 00:00,1.01
9084,04/01/2014 01:00,1.00
9084,04/01/2014 02:00,1.00
9084,04/01/2014 03:00,1.00
